,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1800,
1,BALLOTS CAST - TOTAL.,248,
2,VOTER TURNOUT - TOTAL,,13.78
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,154,16.89
5,JUSTIN J. HURST,82,8.99
6,KATERI B. WALSH . .,134,14.69
7,ERNESTO E. CRUZ . .,44,4.82
8,VICTOR G. DAVILA .,47,5.15
9,JESSE LEDERMAN. . .,88,9.65
10,JYNAI S. McDONALD.,27,2.96
11,KELLI P. MORIARTY-FINN,123,13.49
12,TIMOTHY RYAN,132,14.47
13,TRACYE L. WHITFIELD,79,8.66
14,WRITE-IN.,2,.22
15,Blanks,328,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,173,74.89
19,KENCY GILET.,58,25.11
20,WRITE-IN,0,
21,Blanks,17,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE MARIE HURST,107,28.23
25,JAMES J. FERRERA III.,126,33.25
26,RYAN HESS,86,22.69
27,LaTONIA MONROE NAYLOR,59,15.57
28,WRITE-IN.,1,.26
29,Blanks,117,
30,SCHOOL COMMITTEE DISTRICT 4,,
31,VOTE FOR 1,,
32,PETER MURPHY,158,76.33
33,ZAIDA GOVAN.,49,23.67
34,WRITE-IN.,0,
35,Blanks,41,
