,0703 7C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1675,
1,BALLOTS CAST - TOTAL.,226,
2,VOTER TURNOUT - TOTAL,,13.49
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,185,81.86
6,SALVATORE S. CIRCOSTA,30,13.27
7,IVELISSE GONZALEZ.,1,.44
8,MICHAEL JONES,0,
9,JOHNNIE RAY MCKNIGHT.,10,4.42
10,BEVERLY L. SAVAGE.,0,
11,WRITE-IN.,0,
12,Blanks,0,
