,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1446,
1,BALLOTS CAST - TOTAL.,83,
2,VOTER TURNOUT - TOTAL,,5.74
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,75,90.36
6,YOLANDA CANCEL.,6,7.23
7,JEFFERY P. DONNELLY,2,2.41
8,LINDA MATYS 0'CONNELL,0,
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,42,13.86
13,JESSE LEDERMAN.,29,9.57
14,KATERI B. WALSH,41,13.53
15,TRACYE L. WHITFIELD .,17,5.61
16,LaMAR COOK,11,3.63
17,SEAN CURRAN.,55,18.15
18,KENCY GILET.,10,3.30
19,JOHNNIE RAY MCKNIGHT.,4,1.32
20,KELLI P. MORIARTY-FINI,32,10.56
21,CHRISTOPHER J. POHNER,45,14.85
22,ISRAEL RIVERA,17,5.61
23,WRITE-IN.,0,
24,Blanks,112,
