,0106 1F,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1648,
1,BALLOTS CAST - TOTAL.,128,
2,VOTER TURNOUT - TOTAL,,7.77
3,CITY COUNCIL AT LARGE WARD 1 VOTE FOR 1,,
4,ZAIDA LUNA,68,53.54
5,JOSE L. CLAUDIO,35,27.56
6,STEPHEN DALY,17,13.39
7,MIGUEL RIVAS JR,7,5.51
8,WRITE-IN,0,
