,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1628,
1,BALLOTS CAST - TOTAL.,94,
2,VOTER TURNOUT - TOTAL,,5.77
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,80,86.96
6,YOLANDA CANCEL.,5,5.43
7,JEFFERY P. DONNELLY,5,5.43
8,LINDA MATYS 0'CONNELL,2,2.17
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,47,14.37
14,JESSE LEDERMAN.,42,12.84
15,KATERI B. WALSH,40,12.23
16,TRACYE L. WHITFIELD,28,8.56
17,LaMAR COOK,10,3.06
18,SEAN CURRAN.,42,12.84
19,KENCY GILET.,13,3.98
20,JOHNNIE RAY MCKNIGHT.,11,3.36
21,KELLI P. MORIARTY-FINN,21,6.42
22,CHRISTOPHER J. POHNER,59,18.04
23,ISRAEL RIVERA,14,4.28
24,WRITE-IN.,0,
25,Blanks,143,
