,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1866,
1,BALLOTS CAST - TOTAL.,59,
2,VOTER TURNOUT - TOTAL,,3.16
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,26,11.40
5,JUSTIN J. HURST,25,10.96
6,KATERI B. WALSH,23,10.09
7,ERNESTO E. CRUZ .,26,11.40
8,VICTOR G. DAVILA,18,7.89
9,MARILYN FELIX,13,5.70
10,JESSE LEDERMAN.,15,6.58
11,JYNAI S. McDONALD.,12,5.26
12,KELVIN MOLINA,14,6.14
13,KELLI P. MORIARTY-FINN,8,3.51
14,TIMOTHY RYAN,20,8.77
15,WILLIE J. THOMAS,13,5.70
16,TRACYE L. WHITFIELD,13,5.70
17,WRITE-IN.,2,.88
18,Blanks,67,22.71
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,24,23.30
22,JAMES M. ANZIANO,9,8.74
23,LaMAR COOK,5,4.85
24,JAMES J. FERRERA III.,23,22.33
25,JOESIAH GONZALEZ,25,24.27
26,RYAN HESS,2,1.94
27,MICHAEL D. KOCSMIERSKY,3,2.91
28,LaTONIA MONROE NAYLOR,10,9.71
29,WRITE-IN.,2,1.94
30,Blanks,15,12.71
