,,0208 2H VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL BALLOTS CAST - TOTAL.,1572 254,16.16
1,,VOTER TURNOUT - TOTAL,,
2,,MAYOR,,
3,,VOTE FOR 1,190,76.00
4,,DOMENIC J. SARNO,60,24.00
5,,SALVATORE S. CIRCOSTA,0,
6,,WRITE-IN.,4,
7,,Blanks,,
8,,COUNCILLOR AT LARGE,,
9,,VOTE FOR 5,157,16.35
10,,THOMAS ASHE.,122,12.71
11,,JUSTIN J. HURST,157,16.35
12,,TIMOTHY J. ROOKE,125,13.02
13,,KATERI B. WALSH,138,14.38
14,,BUD L. WILLIAMS,49,5.10
15,,LaMAR COOK,51,5.31
16,,JEFFERY P. DONNELLY,77,8.02
17,,JESSE L. LEDERMAN.,43,4.48
18,,"KENNETH S. POOLER, JR",41,4.27
19,,ALEXANDER J. SHERMAN.,0,
20,,WRITE-IN.,310,
21,,Blanks,,
22,,WARD TWO COUNCILLOR,,
23,,VOTE FOR 1,184,97.87
24,,MICHAEL A. FENTON.,4,2.13
25,,WRITE- IN.,66,
26,,Blanks,,
27,,QUESTION 1,,
28,,VOTE FOR 1,163,67.08
29,,YES (SI),80,32.92
30,,NO (NO),11,
31,,Blanks,,
32,,QUESTION 2,,
33,,VOTE FOR 1,122,55.71
34,,YES (SI),,97 44.29
35,,NO (NO),,35
