,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1725,,
1,BALLOTS CAST - TOTAL.,502,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,29.10,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,429,87.55,
8,Yolanda Cancel,59,12.04,
9,WRITE-IN.,2,.41,
10,Blanks,12,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,278,14.56,
13,Jesse Lederman.,267,13.99,
14,Kateri B. Walsh,267,13.99,
15,Tracye L. Whitfield,229,12.00,
16,LaMar Cook,65,3.40,
17,Sean Curran. .,260,13.62,
18,Johnnie Ray Mcknight.,78,4.09,
19,Kelli P. Moriarty-Finn,177,9.27,
20,Christopher J. Pohner,178,9.32,
21,Israel Rivera,108,5.66,
22,WRITE-IN.,2,.10,
23,Blanks,601,,
24,CITY COUNCIL WARD 7,,,
25,Vote for 1,,,
26,Timothy C. Allen,375,99.21,
27,WRITE-IN.,3,.79,
28,Blanks,124,,
