,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1749,
1,BALLOTS CAST - TOTAL.,308,
2,VOTER TURNOUT - TOTAL,,17.61
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,156,13.62
5,JUSTIN J. HURST,129,11.27
6,KATERI B. WALSH . .,151,13.19
7,ERNESTO E. CRUZ . .,38,3.32
8,VICTOR G. DAVILA .,104,9.08
9,JESSE LEDERMAN. . .,157,13.71
10,JYNAI S. McDONALD.,47,4.10
11,KELLI P. MORIARTY-FINN,105,9.17
12,TIMOTHY RYAN,167,14.59
13,TRACYE L. WHITFIELD,90,7.86
14,WRITE-IN.,1,.09
15,Blanks,395,
16,CITY COUNCIL WARD 7,,
17,VOTE FOR 1,,
18,TIMOTHY C. ALLEN,235,99.16
19,WRITE-IN.,2,.84
20,Blanks,71,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,146,28.52
23,JAMES J. FERRERA III.,135,26.37
24,RYAN HESS,105,20.51
25,LaTONIA MONROE NAYLOR,124,24.22
26,WRITE-IN.,2,.39
27,Blanks,104,
28,SCHOOL COMMITTEE DISTRICT 3,,
29,VOTE FOR 1,,
30,CHRISTOPHER COLLINS,189,98.44
31,WRITE-IN.,3,1.56
32,Blanks,116,
