,0507 5G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1699,
1,BALLOTS CAST - TOTAL.,653,
2,VOTER TURNOUT - TOTAL,,38.43
3,QUESTION 1:,,
4,VOTE FOR 1,,
5,YES,362,55.44
6,NO.,291,44.56
