,0704 7D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1533,
1,BALLOTS CAST - TOTAL.,188,
2,VOTER TURNOUT - TOTAL,,12.26
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,158,84.04
6,SALVATORE S. CIRCOSTA,20,10.64
7,IVELISSE GONZALEZ.,1,.53
8,MICHAEL JONES,1,.53
9,JOHNNIE RAY MCKNIGHT.,1,.53
10,BEVERLY L. SAVAGE.,2,1.06
11,WRITE-IN.,5,2.66
12,Blanks,0,
