,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1711,
1,BALLOTS CAST - TOTAL.,150,
2,VOTER TURNOUT - TOTAL,,8.77
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,69,12.19
5,JUSTIN J. HURST,92,16.25
6,KATERI B. WALSH .,67,11.84
7,ERNESTO E. CRUZ .,33,5.83
8,VICTOR G. DAVILA .,28,4.95
9,JESSE LEDERMAN. .,55,9.72
10,JYNAI S. McDONALD.,41,7.24
11,KELLI P. MORIARTY-FINN,37,6.54
12,TIMOTHY RYAN,58,10.25
13,TRACYE L. WHITFIELD,86,15.19
14,WRITE-IN.,0,
15,Blanks,184,
16,CITY COUNCIL WARD 5,,
17,VOTE FOR 1,,
18,MARCUS J. WILLIAMS,111,99.11
19,WRITE-IN.,1,.89
20,Blanks,38,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,94,37.90
23,JAMES J. FERRERA III.,44,17.74
24,RYAN HESS,28,11.29
25,LaTONIA MONROE NAYLOR,82,33.06
26,WRITE-IN.,0,
27,Blanks,52,
28,SCHOOL COMMITTEE DISTRICT 2,,
29,VOTE FOR 1,,
30,BARBARA GRESHAM,86,63.70
31,STEPHANIE MURCHISON-BROWN,49,36.30
32,WRITE-IN.,0,
33,Blanks,15,
