,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1877,,
1,BALLOTS CAST - TOTAL.,271,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,14.44,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,198,75.57,
8,Yolanda Cancel,64,24.43,
9,WRITE-IN.,0,,
10,Blanks,9,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,126,13.70,
13,Jesse Lederman.,92,10.00,
14,Kateri B. Walsh,121,13.15,
15,Tracye L. Whitfield,117,12.72,
16,LaMar Cook,64,6.96,
17,Sean Curran.,125,13.59,
18,Johnnie Ray Mcknight.,39,4.24,
19,Kelli P. Moriarty-Finn,68,7.39,
20,Christopher J. Pohner,85,9.24,
21,Israel Rivera,81,8.80,
22,WRITE-IN.,2,.22,
23,Blanks,435,,
24,,,,
25,CITY COUNCIL WARD 2,,,
26,Vote for 1,,,
27,Michael A. Fenton.,191,96.95,
28,WRITE-IN.,6,3.05,
29,Blanks,74,,
