,,0708 7H VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL CAST - TOTAL.,801 235,29.34
1,,BALLOTS VOTER TURNOUT - TOTAL,,
2,,MAYOR,,
3,,VOTE FOR 1,183,79.57
4,,DOMENIC J. SARNO,47,20.43
5,,SALVATORE S. CIRCOSTA,0,
6,,WRITE-IN.,5,
7,,Blanks,,
8,,COUNCILLOR AT LARGE,,
9,,VOTE FOR 5,156,17.51
10,,THOMAS ASHE.,119,13.36
11,,JUSTIN J. HURST,138,15.49
12,,TIMOTHY J. ROOKE,133,14.93
13,,KATERI B. WALSH,126,14.14
14,,BUD L. WILLIAMS,35,3.93
15,,LaMAR COOK,48,5.39
16,,JEFFERY P. DONNELLY,68,7.63
17,,JESSE L. LEDERMAN.,39,4.38
18,,"KENNETH S. POOLER, JR",29,3.25
19,,ALEXANDER J. SHERMAN.,0,
20,,WRITE-IN.,284,
21,,Blanks,,
22,,WARD SEVEN COUNCILLOR,,
23,,VOTE FOR 1,150,69.44
24,,TIMOTHY C. ALLEN,66,30.56
25,,LILLIAN GRAY,0,
26,,WRITE-IN.,19,
27,,Blanks,,
28,,QUESTION 1,,
29,,VOTE FOR 1,127,58.26
30,,YES (SI),91,41.74
31,,NO (NO),17,
32,,Blanks,,
33,,QUESTION 2,,
34,,VOTE FOR 1,105,53.57
35,,YES (SI),,91 46.43
36,,NO (NO) Blanks,,39
