,,REGISTERED VOTERS - TOTAL,VOTES 1553,PERCENT
0,,BALLOTS CAST - TOTAL.,249,
1,,VOTER TURNOUT - TOTAL,,16.03
2,,MAYOR,,
3,,VOTE FOR 1,,
4,,DOMENIC J. SARNO,193,78.46
5,,SALVATORE S. CIRCOSTA,53,21.54
6,,WRITE-IN.,0,
7,,Blanks,3,
8,,COUNCILLOR AT LARGE VOTE FOR 5,,
9,,THOMAS ASHE.,140,15.49
10,,JUSTIN J. HURST,130,14.38
11,,TIMOTHY J. ROOKE,108,11.95
12,,KATERI B. WALSH,125,13.83
13,,BUD L. WILLIAMS,153,16.92
14,,LaMAR COOK,62,6.86
15,,JEFFERY P. DONNELLY,27,2.99
16,,JESSE L. LEDERMAN.,71,7.85
17,,"KENNETH S. POOLER, JR",43,4.76
18,,ALEXANDER J. SHERMAN.,42,4.65
19,,WRITE-IN.,3,.33
20,,Blanks,341,
21,,WARD FIVE COUNCILLOR,,
22,,VOTE FOR 1,,
23,,CLODO CONCEPCION,78,33.91
24,,MARCUS J. WILLIAMS,151,65.65
25,,WRITE-IN,1,.43
26,,Blanks,19,
27,,QUESTION 1,,
28,,VOTE FOR 1,,
29,,YES (SI),160,69.57
30,,NO (NO),70,30.43
31,,Blanks,19,
32,,QUESTION 2,,
33,,VOTE FOR 1,,
34,,YES (SI),141,61.57
35,,NO (NO),88,38.43
36,,Blanks,20,
