,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1543,,
1,BALLOTS CAST - TOTAL.,107,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,6.93,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,86,81.90,
8,Yolanda Cancel,19,18.10,
9,WRITE-IN.,0,,
10,Blanks,2,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,56,18.06,
13,Jesse Lederman.,45,14.52,
14,Kateri B. Walsh,42,13.55,
15,Tracye L. Whitfield,26,8.39,
16,LaMar Cook,15,4.84,
17,Sean Curran.,22,7.10,
18,Johnnie Ray Mcknight.,23,7.42,
19,Kelli P. Moriarty-Finn,8,2.58,
20,Christopher J. Pohner,16,5.16,
21,Israel Rivera,54,17.42,
22,WRITE-IN.,3,.97,
23,Blanks,225,,
24,CITY COUNCIL WARD 1,,,
25,Vote for 1,,,
26,Adam Gomez,86,97.73,
27,WRITE-IN,2,2.27,
28,Blanks,19,,
