,,VOTES,PERCENT
0,PRECINCTS COUNTED (OF 64),64,
1,REGISTERED VOTERS - TOTAL,"106,660",
2,BALLOTS CAST - TOTAL.,"10,562",
3,VOTER TURNOUT - TOTAL,,
4,CITY COUNCIL AT LARGE,,
5,VOTE FOR 5,,
6,THOMAS ASHE.,"5,039",
7,JUSTIN J. HURST,"5,358",
8,KATERI B. WALSH,"4,859",
9,ERNESTO E. CRUZ,"2,540",6.59
10,VICTOR G. DAVILA,"2,590",
11,JESSE LEDERMAN.,"4,435",
12,JYNAI S. McDONALD.,"2,267",5.88
13,KELLI P. MORIARTY-FINN,"3,204",
14,TIMOTHY RYAN,"4,212",
15,TRACYE L. WHITFIELD,"3,933",10.21
16,WRITE-IN.,100,
17,Blanks,"14,266",
18,CITY COUNCIL WARD 1,,
19,VOTE FOR 1,,
20,ADAM GOMEZ,620,
21,WRITE-IN.,5,.80
22,Blanks,172,
23,CITY COUNCIL WARD 2,,
24,VOTE FOR 1,,
25,MICHAEL A. FENTON.,"1,017",
26,KENCY GILET.,313,
27,WRITE-IN.,1,
28,Blanks,88,
29,,,
30,CITY COUNCIL WARD 3,,
31,VOTE FOR 1,,
32,MELVIN A. EDWARDS.,392,
33,KEVIN J. DUMPSON,175,30.49
34,WRITE-IN.,7,1.22
35,Blanks,58,
36,CITY COUNCIL WARD 4,,
37,VOTE FOR 1,,
38,E. HENRY TWIGGS,594,
39,ROBERT J. KELLY,505,
40,WRITE-IN.,19,
41,Blanks,104,
