,0205 2E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1667,
1,BALLOTS CAST - TOTAL,189,
2,VOTER TURNOUT - TOTAL,,11.34
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,116,15.98
5,JUSTIN J. HURST,78,10.74
6,KATERI B. WALSH,107,14.74
7,ERNESTO E. CRUZ,40,5.51
8,VICTOR G. DAVILA .,36,4.96
9,JESSE LEDERMAN.,64,8.82
10,JYNAI S. McDONALD.,27,3.72
11,KELLI P. MORIARTY-FINN,106,14.60
12,TIMOTHY RYAN,92,12.67
13,TRACYE L. WHITFIELD,59,8.13
14,WRITE-IN.,1,.14
15,Blanks,219,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,149,82.78
19,KENCY GILET.,30,16.67
20,WRITE-IN.,1,.56
21,Blanks,9,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,86,27.30
24,JAMES J. FERRERA III.,91,28.89
25,RYAN HESS,87,27.62
26,LaTONIA MONROE NAYLOR,50,15.87
27,WRITE-IN.,1,.32
28,Blanks,63,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER MURPHY,126,72.83
32,ZAIDA GOVAN.,46,26.59
33,WRITE-IN.,1,.58
34,Blanks,16,
