,,0805 8E,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1329,
1,,BALLOTS CAST - TOTAL.,136,
2,,VOTER TURNOUT - TOTAL,,10.23
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,101,75.37
6,,SALVATORE S. CIRCOSTA,32,23.88
7,,WRITE-IN.,1,.75
8,,Blanks,2,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,,
11,,THOMAS ASHE.,77,17.15
12,,JUSTIN J. HURST,51,11.36
13,,TIMOTHY J. ROOKE,69,15.37
14,,KATERI B. WALSH,79,17.59
15,,BUD L. WILLIAMS,70,15.59
16,,LaMAR COOK,16,3.56
17,,JEFFERY P. DONNELLY,21,4.68
18,,JESSE L. LEDERMAN.,31,6.90
19,,"KENNETH S. POOLER, JR",13,2.90
20,,ALEXANDER J. SHERMAN.,14,3.12
21,,WRITE-IN.,8,1.78
22,,Blanks,235,
23,,WARD EIGHT COUNCILLOR,,
24,,VOTE FOR 1,,
25,,ORLANDO RAMOS,95,96.94
26,,WRITE-IN,3,3.06
27,,Blanks,38,
28,,QUESTION 1,,
29,,VOTE FOR 1,,
30,,YES (SI),82,67.77
31,,NO (NO),39,32.23
32,,Blanks,15,
33,,QUESTION 2,,
34,,VOTE FOR 1,,
35,,YES (SI),49,41.18
36,,NO (NO),70,58.82
37,,Blanks,17,
