,0303 3C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1629,
1,BALLOTS CAST - TOTAL,64,
2,VOTER TURNOUT - TOTAL,,3.93
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,30,11.49
5,JUSTIN J. HURST,32,12.26
6,KATERI B. WALSH,29,11.11
7,ERNESTO E. CRUZ,28,10.73
8,VICTOR G. DAVILA,21,8.05
9,JESSE LEDERMAN.,25,9.58
10,JYNAI S. McDONALD.,25,9.58
11,KELLI P. MORIARTY-FINN,13,4.98
12,TIMOTHY RYAN,23,8.81
13,TRACYE L. WHITFIELD,34,13.03
14,WRITE-IN.,1,.38
15,Blanks,59,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,46,76.67
19,KEVIN J. DUMPSON,12,20.00
20,WRITE-IN.,2,3.33
21,Blanks,4,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,41,36.61
24,JAMES J. FERRERA III.,25,22.32
25,RYAN HESS,14,12.50
26,LaTONIA MONROE NAYLOR,30,26.79
27,WRITE-IN.,2,1.79
28,Blanks,16,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,MARIA PEREZ.,42,97.67
32,WRITE-IN.,1,2.33
33,Blanks,21,
