,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1809,
1,BALLOTS CAST - TOTAL,292,
2,VOTER TURNOUT - TOTAL,,16.14
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,154,15.20
5,JUSTIN J. HURST,107,10.56
6,KATERI B. WALSH,123,12.14
7,ERNESTO E. CRUZ .,61,6.02
8,VICTOR G. DAVILA .,76,7.50
9,JESSE LEDERMAN. . .,88,8.69
10,JYNAI S. McDONALD.,41,4.05
11,KELLI P. MORIARTY-FINN,176,17.37
12,TIMOTHY RYAN,126,12.44
13,TRACYE L. WHITFIELD,58,5.73
14,WRITE-IN.,3,.30
15,Blanks,447,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,226,83.09
19,KENCY GILET.,46,16.91
20,WRITE-IN,0,
21,Blanks,20,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,123,28.41
24,JAMES J. FERRERA III.,117,27.02
25,RYAN HESS,112,25.87
26,LaTONIA MONROE NAYLOR,80,18.48
27,WRITE-IN,1,.23
28,Blanks,151,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER MURPHY,172,66.93
32,ZAIDA GOVAN.,85,33.07
33,WRITE-IN.,0,
34,Blanks,35,
