,0501 5A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1578,
1,BALLOTS CAST - TOTAL,188,
2,VOTER TURNOUT - TOTAL,,11.91
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,75,11.38
5,JUSTIN J. HURST,120,18.21
6,KATERI B. WALSH,67,10.17
7,ERNESTO E. CRUZ,43,6.53
8,VICTOR G. DAVILA .,36,5.46
9,JESSE LEDERMAN.,68,10.32
10,JYNAI S. McDONALD.,76,11.53
11,KELLI P. MORIARTY-FINN,16,2.43
12,TIMOTHY RYAN,43,6.53
13,TRACYE L. WHITFIELD,115,17.45
14,WRITE-IN.,0,
15,Blanks,281,
16,CITY COUNCIL WARD 5,,
17,VOTE FOR 1,,
18,MARCUS J. WILLIAMS,128,100.00
19,WRITE-IN.,0,
20,Blanks,60,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,128,42.81
23,JAMES J. FERRERA III.,31,10.37
24,RYAN HESS,17,5.69
25,LaTONIA MONROE NAYLOR,123,41.14
26,WRITE-IN.,0,
27,Blanks,77,
28,SCHOOL COMMITTEE DISTRICT 2,,
29,VOTE FOR 1,,
30,BARBARA GRESHAM,87,51.48
31,STEPHANIE MURCHISON-BROWN,82,48.52
32,WRITE-IN.,0,
33,Blanks,19,
