,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,800,,
1,BALLOTS CAST - TOTAL.,220,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,27.50,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,188,87.04,
8,Yolanda Cancel,28,12.96,
9,WRITE-IN.,0,,
10,Blanks,4,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,128,15.15,
14,Jesse Lederman.,102,12.07,
15,Kateri B. Walsh,129,15.27,
16,Tracye L. Whitfield,100,11.83,
17,LaMar Cook,38,4.50,
18,Sean Curran.,120,14.20,
19,Johnnie Ray Mcknight.,31,3.67,
20,Kelli P. Moriarty-Finn,86,10.18,
21,Christopher J. Pohner,60,7.10,
22,Israel Rivera,48,5.68,
23,WRITE-IN.,3,.36,
24,Blanks,255,,
25,CITY COUNCIL WARD 7,,,
26,Vote for 1,,,
27,Timothy C. Allen,154,99.35,
28,WRITE-IN.,1,.65,
29,Blanks,65,,
