,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1688,
1,BALLOTS CAST - TOTAL.,64,
2,VOTER TURNOUT - TOTAL,,3.79
3,CITY COUNCIL AT LARGE WARD 5 VOTE FOR 1,,
4,CLODO CONCEPCION,42,65.63
5,MICHAEL BELANGER,13,20.31
6,KYLE BURNS,9,14.06
7,WRITE-IN,0,
