,0208 2H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1695,
1,BALLOTS CAST - TOTAL.,152,
2,VOTER TURNOUT - TOTAL,,8.97
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,130,87.25
6,YOLANDA CANCEL.,13,8.72
7,JEFFERY P. DONNELLY,4,2.68
8,LINDA MATYS O'CONNELL,2,1.34
9,WRITE-IN.,0,
10,Blanks,3,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,64,12.26
13,JESSE LEDERMAN.,50,9.58
14,KATERI B. WALSH,46,8.81
15,TRACYE L. WHITFIELD,40,7.66
16,LaMAR COOK,16,3.07
17,SEAN CURRAN.,86,16.48
18,KENCY GILET.,46,8.81
19,JOHNNIE RAY MCKNIGHT.,5,.96
20,KELLI P. MORIARTY-FINN,44,8.43
21,CHRISTOPHER J. POHNER,97,18.58
22,ISRAEL RIVERA,28,5.36
23,WRITE-IN.,0,
24,Blanks,238,
