,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1335,
1,BALLOTS CAST - TOTAL.,45,
2,VOTER TURNOUT - TOTAL,,3.37
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,30,68.18
6,YOLANDA CANCEL.,11,25.00
7,JEFFERY P. DONNELLY,2,4.55
8,LINDA MATYS O'CONNELL,1,2.27
9,WRITE-I IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,32,19.75
13,JESSE LEDERMAN.,20,12.35
14,KATERI B. WALSH,19,11.73
15,TRACYE L. WHITFIELD .,22,13.58
16,LaMAR COOK,12,7.41
17,SEAN CURRAN.,11,6.79
18,KENCY GILET.,7,4.32
19,JOHNNIE RAY MCKNIGHT.,6,3.70
20,KELLI P. MORIARTY-FINN,7,4.32
21,CHRISTOPHER J. POHNER,14,8.64
22,ISRAEL RIVERA,11,6.79
23,WRITE-IN.,1,.62
24,Blanks,63,
