,,REGISTERED VOTERS - TOTAL,1550,
0,,BALLOTS CAST - TOTAL.,250,
1,,VOTER TURNOUT - TOTAL,,16.13
2,,MAYOR,,
3,,VOTE FOR 1,,
4,,DOMENIC J. SARNO,188,75.81
5,,SALVATORE S. CIRCOSTA,58,23.39
6,,WRITE-IN.,2,.81
7,,Blanks,2,
8,,COUNCILLOR AT LARGE,,
9,,VOTE FOR 5,,
10,,THOMAS ASHE.,149,15.70
11,,JUSTIN J. HURST,135,14.23
12,,TIMOTHY J. ROOKE,147,15.49
13,,KATERI B. WALSH,124,13.07
14,,BUD L. WILLIAMS,138,14.54
15,,LaMAR COOK,41,4.32
16,,JEFFERY P. DONNELLY,75,7.90
17,,JESSE L. LEDERMAN.,60,6.32
18,,"KENNETH S. POOLER, JR",29,3.06
19,,ALEXANDER J. SHERMAN.,50,5.27
20,,WRITE-IN.,1,.11
21,,Blanks,291,
22,,WARD EIGHT COUNCILLOR,,
23,,VOTE FOR 1,,
24,,ORLANDO RAMOS,184,98.92
25,,WRITE-IN.,2,1.08
26,,Blanks,62,
27,,QUESTION 1,,
28,,VOTE FOR 1,,
29,,YES (SI),162,69.83
30,,NO (NO),70,30.17
31,,Blanks,17,
32,,QUESTION 2,,
33,,VOTE FOR 1,,
34,,YES (SI),124,57.41
35,,NO (NO),92,42.59
36,,Blanks,33,
