,0505 5E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1767,
1,BALLOTS CAST - TOTAL.,153,
2,VOTER TURNOUT - TOTAL,,8.66
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,116,76.82
6,YOLANDA CANCEL.,28,18.54
7,JEFFERY P. DONNELLY,2,1.32
8,LINDA MATYS O'CONNELL,5,3.31
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,107,18.23
13,JESSE LEDERMAN.,77,13.12
14,KATERI B. WALSH,92,15.67
15,TRACYE L. WHITFIELD,82,13.97
16,LaMAR COOK,41,6.98
17,SEAN CURRAN.,41,6.98
18,KENCY GILET.,12,2.04
19,JOHNNIE RAY MCKNIGHT.,28,4.77
20,KELLI P. MORIARTY-FINN,30,5.11
21,CHRISTOPHER J. POHNER,40,6.81
22,ISRAEL RIVERA,35,5.96
23,WRITE-IN.,2,.34
24,Blanks,178,
