,VOTE FOR 5,,
0,THOMAS ASHE.,46,10.82
1,JAMES J. FERRERA,33,7.76
2,TIMOTHY J. ROOKE .,26,6.12
3,KATERI B. WALSH .,44,10.35
4,BRUCE SAMUEL ADAMS JR .,25,5.88
5,DAVID F. CIAMPI,6,1.41
6,JOSEPH R. FOUNTAIN,22,5.18
7,JUSTIN J. HURST,38,8.94
8,AMAAD RIVERA .,46,10.82
9,CHARLES H. RUCKS .,38,8.94
10,MIGUEL A. SOTO. .,37,8.71
11,JOHN W. STEVENS,8,1.88
12,BUD L. WILLIAMS .,55,12.94
13,WRITE-IN.,1,.24
14,Blanks,175,
