,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1850,
1,BALLOTS CAST - TOTAL.,279,
2,VOTER TURNOUT - TOTAL,,15.08
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,146,13.46
5,JUSTIN J. HURST,144,13.27
6,KATERI B. WALSH . .,130,11.98
7,ERNESTO E. CRUZ .,65,5.99
8,VICTOR G. DAVILA . .,61,5.62
9,JESSE LEDERMAN. . .,116,10.69
10,JYNAI S. McDONALD.,54,4.98
11,KELLI P. MORIARTY-FINN,115,10.60
12,TIMOTHY RYAN,154,14.19
13,TRACYE L. WHITFIELD,99,9.12
14,WRITE-IN,1,.09
15,Blanks,310,
16,CITY COUNCIL WARD 7,,
17,VOTE FOR 1,,
18,TIMOTHY C. ALLEN,211,95.05
19,WRITE-IN.,11,4.95
20,Blanks,57,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,149,32.68
23,JAMES J. FERRERA III.,118,25.88
24,RYAN HESS,100,21.93
25,LaTONIA MONROE NAYLOR,87,19.08
26,WRITE-IN.,2,.44
27,Blanks,102,
28,SCHOOL COMMITTEE DISTRICT 3,,
29,VOTE FOR 1,,
30,CHRISTOPHER COLLINS,177,97.25
31,WRITE-IN.,5,2.75
32,Blanks,97,
