,0508 5H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1373,
1,BALLOTS CAST - TOTAL.,142,
2,VOTER TURNOUT - TOTAL,,10.34
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,111,78.17
6,YOLANDA CANCEL.,18,12.68
7,JEFFERY P. DONNELLY,8,5.63
8,LINDA MATYS 0'CONNELL,5,3.52
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,81,14.97
14,JESSE LEDERMAN.,64,11.83
15,KATERI B. WALSH,72,13.31
16,TRACYE L. WHITFIELD,38,7.02
17,LaMAR COOK .,15,2.77
18,SEAN CURRAN. .,78,14.42
19,KENCY GILET.,13,2.40
20,JOHNNIE RAY MCKNIGHT.,19,3.51
21,KELLI P. MORIARTY-FINN,45,8.32
22,CHRISTOPHER J. POHNER,73,13.49
23,ISRAEL RIVERA,41,7.58
24,WRITE-IN.,2,.37
25,Blanks,169,
