,,0303 3C VOTES,,PERCENT
0,,1383 REGISTERED VOTERS - TOTAL,102,
1,,BALLOTS CAST - TOTAL.,,7.38
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,79,79.80
5,,DOMENIC J. SARNO,20,20.20
6,,SALVATORE S. CIRCOSTA,0,
7,,WRITE-IN.,3,
8,,Blanks,,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,50,15.06
11,,THOMAS ASHE.,47,14.16
12,,JUSTIN J. HURST,42,12.65
13,,TIMOTHY J. ROOKE,52,15.66
14,,KATERI B. WALSH,58,17.47
15,,BUD L. WILLIAMS,27,8.13
16,,LaMAR COOK,9,2.71
17,,JEFFERY P. DONNELLY,24,7.23
18,,JESSE L. LEDERMAN.,11,3.31
19,,"KENNETH S. POOLER, JR",10,3.01
20,,ALEXANDER J. SHERMAN.,2,.60
21,,WRITE-IN.,178,
22,,Blanks,,
23,,WARD THREE COUNCILLOR,,
24,,VOTE FOR 1,50,53.19
25,,MELVIN A. EDWARDS.,44,46.81
26,,YOLANDA R. L. CANCEL.,0,
27,,WRITE-IN.,8,
28,,Blanks,,
29,,QUESTION 1,,
30,,VOTE FOR 1,61,67.78
31,,YES (SI),29,32.22
32,,NO (NO),,12
33,,Blanks,,
34,,QUESTION 2,,
35,,VOTE FOR 1,,57 64.04
36,,YES (SI),,32 35.96
37,,NO (NO),,13
