,"KENNETH S. POOLER, JR",94,4.95
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,LILLIAN GRAY,95,19.55
8,,,
9,Blanks,39,
10,QUESTION 1,,
11,VOTE FOR 1,,
12,YES (SI),277,57.35
13,NO (NO),206,42.65
14,Blanks,42,
15,QUESTION 2,,
16,VOTE FOR 1,,
17,YES (SI).,225,48.91
18,NO (NO),235,51.09
19,Blanks,65,
