,0802 8B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1672,
1,BALLOTS CAST . TOTAL.,58,
2,VOTER TURNOUT - TOTAL,,3.47
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,19,11.38
5,JUSTIN J. HURST,31,18.56
6,KATERI B. WALSH . .,18,10.78
7,ERNESTO E. CRUZ . .,13,7.78
8,VICTOR G. DAVILA,8,4.79
9,MARILYN FELIX .,5,2.99
10,JESSE LEDERMAN. .,13,7.78
11,JYNAI S. McDONALD. .,13,7.78
12,KELVIN MOLINA,8,4.79
13,KELLI P. MORIARTY-FINN,7,4.19
14,TIMOTHY RYAN,6,3.59
15,WILLIE J. THOMAS,7,4.19
16,TRACYE L. WHITFIELD,18,10.78
17,WRITE-IN.,1,.60
18,Blanks,123,42.41
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,28,31.11
22,JAMES M. ANZIANO,3,3.33
23,LaMAR COOK,13,14.44
24,JAMES J. FERRERA III.,9,10.00
25,JOESIAH GONZALEZ,13,14.44
26,RYAN HESS,4,4.44
27,MICHAEL D. KOCSMIERSKY,2,2.22
28,LaTONIA MONROE NAYLOR,18,20.00
29,WRITE-IN.,0,
30,Blanks,26,22.41
