,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1677,,
1,BALLOTS CAST - TOTAL.,444,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,26.48,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,357,80.95,
8,Yolanda Cancel,80,18.14,
9,WRITE-IN.,4,.91,
10,Blanks,3,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,176,11.02,
14,Jesse Lederman.,229,14.34,
15,Kateri B. Walsh,253,15.84,
16,Tracye L. Whitfield,159,9.96,
17,LaMar Cook,70,4.38,
18,Sean Curran.,216,13.53,
19,Johnnie Ray Mcknight.,75,4.70,
20,Kelli P. Moriarty-Finn,183,11.46,
21,Christopher J. Pohner,147,9.20,
22,Israel Rivera,87,5.45,
23,WRITE-IN.,2,.13,
24,Blanks,623,,
25,CITY COUNCIL WARD 6,,,
26,Vote for 1,,,
27,Victor G. Davila,166,40.00,
28,Timothy Ryan,249,60.00,
29,WRITE-IN.,0,,
30,Blanks,29,,
