,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1551,
1,BALLOTS CAST - TOTAL.,272,
2,BALLOTS CAST . BLANK.,0,
3,VOTER TURNOUT - TOTAL,,17.54
4,VOTER TURNOUT - BLANK,,
5,MAYOR,,
6,Vote for 1,,
7,Domenic J. Sarno,203,76.03
8,Yolanda Cancel,64,23.97
9,WRITE-IN.,0,
10,Blanks,5,
11,CITY COUNCIL AT LARGE,,
12,Vote for 5,,
13,Justin J. Hurst,198,19.74
14,Jesse Lederman.,135,13.46
15,Kateri B. Walsh,123,12.26
16,Tracye L. Whitfield,178,17.75
17,LaMar Cook,105,10.47
18,Sean Curran.,51,5.08
19,Johnnie Ray Mcknight.,56,5.58
20,Kelli P. Moriarty-Finn,32,3.19
21,Christopher J. Pohner,31,3.09
22,Israel Rivera,93,9.27
23,WRITE-IN.,1,.10
24,Blanks,357,
25,CITY COUNCIL WARD 4,,
26,Vote for 1,,
27,Malo L. Brown,149,58.20
28,Jynai S. McDonald.,106,41.41
29,WRITE-IN.,1,.39
30,Blanks,16,
