,,VOTES,PERCENT,,
0,REGISTERED VOTERS - TOTAL,413,,,
1,BALLOTS CAST - TOTAL.,71,,,
2,BALLOTS CAST - BLANK.,0,,,
3,VOTER TURNOUT - TOTAL,,17.19,,
4,VOTER TURNOUT - BLANK,,,,
5,MAYOR,,,,
6,Vote for 1,,,,
7,Domenic J. Sarno,43,63.24,,
8,Yolanda Cancel,25,36.76,,
9,WRITE-IN.,0,,,
10,Blanks,3,,,
11,CITY COUNCIL AT LARGE Vote for 5,,,,
12,Justin J. Hurst,58,21.64,,
13,Jesse Lederman.,37,13.81,,
14,Kateri B. Walsh,32,11.94,,
15,Tracye L. Whitfield,57,21.27,,
16,LaMar Cook,31,11.57,,
17,Sean Curran.,7,2.61,,
18,Johnnie Ray Mcknight.,18,6.72,,
19,Kelli P. Moriarty-Finn,7,2.61,,
20,Christopher J. Pohner,4,1.49,,
21,Israel Rivera,17,6.34,,
22,WRITE-IN.,0,,,
23,Blanks,87,,,
24,CITY COUNCIL WARD 4,,,,
25,Vote for 1,,,,
26,Malo L. Brown,29,43.94,,
27,Jynai S. McDonald.,37,56.06,,
28,WRITE-IN.,0,,,
29,Blanks,5,,,
