,REGISTERED VOTERS - TOTAL,VOTES 1580,PERCENT
0,BALLOTS CAST - TOTAL.,26,
1,VOTER TURNOUT - TOTAL,,1.65
2,CITY COUNCIL AT LARGE VOTE FOR 5,,
3,THOMAS ASHE.,14,16.87
4,JUSTIN J. HURST,10,12.05
5,KATERI B. WALSH .,14,16.87
6,ERNESTO E. CRUZ .,3,3.61
7,VICTOR G. DAVILA,8,9.64
8,MARILYN FELIX,1,1.20
9,JESSE LEDERMAN.,3,3.61
10,JYNAI S. McDONALD.,4,4.82
11,KELVIN MOLINA,5,6.02
12,KELLI P. MORIARTY-FINN,7,8.43
13,TIMOTHY RYAN,6,7.23
14,WILLIE J. THOMAS,2,2.41
15,TRACYE L. WHITFIELD,5,6.02
16,WRITE-IN.,1,1.20
17,Blanks,47,36.15
18,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
19,DENISE MARIE HURST,12,30.00
20,JAMES M. ANZIANO,5,12.50
21,LaMAR COOK,4,10.00
22,JAMES J. FERRERA III.,8,20.00
23,JOESIAH GONZALEZ,4,10.00
24,RYAN HESS,3,7.50
25,MICHAEL D. KOCSMIERSKY,2,5.00
26,LaTONIA MONROE NAYLOR,2,5.00
27,WRITE-IN.,0,
28,Blanks,12,23.08
