,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1700,
1,BALLOTS CAST - TOTAL.,213,
2,VOTER TURNOUT - TOTAL,,12.53
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,174,84.06
6,YOLANDA CANCEL.,18,8.70
7,JEFFERY P. DONNELLY,11,5.31
8,LINDA MATYS O'CONNELL,3,1.45
9,WRITE-IN.,1,.48
10,Blanks,6,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,117,14.70
14,JESSE LEDERMAN.,107,13.44
15,KATERI B. WALSH,113,14.20
16,TRACYE L. WHITFIELD,77,9.67
17,LaMAR COOK,27,3.39
18,SEAN CURRAN.,92,11.56
19,KENCY GILET.,21,2.64
20,JOHNNIE RAY MCKNIGHT.,28,3.52
21,KELLI P. MORIARTY-FINN,69,8.67
22,CHRISTOPHER J. POHNER,105,13.19
23,ISRAEL RIVERA,39,4.90
24,WRITE-IN.,1,.13
25,Blanks,269,
