,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1679,,
1,BALLOTS CAST - TOTAL,363,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,21.62,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,268,75.28,
8,Yolanda Cancel,87,24.44,
9,WRITE-IN.,1,.28,
10,Blanks,7,,
11,CITY COUNCIL AT LARGE,,,
12,Vote for 5,,,
13,Justin J. Hurst,154,12.62,
14,Jesse Lederman.,139,11.39,
15,Kateri B. Walsh,158,12.95,
16,Tracye L. Whitfield,110,9.02,
17,LaMar Cook,48,3.93,
18,Sean Curran.,197,16.15,
19,Johnnie Ray Mcknight.,36,2.95,
20,Kelli P. Moriarty-Finn,187,15.33,
21,Christopher J. Pohner,84,6.89,
22,Israel Rivera,104,8.52,
23,WRITE-IN.,3,.25,
24,Blanks,595,,
25,CITY COUNCIL WARD 2,,,
26,Vote for 1,,,
27,Michael A. Fenton.,273,98.91,
28,WRITE-IN.,3,1.09,
29,Blanks,87,,
