,0608 6H,,
0,,VOTES,PERCENT
1,REGISTERED VOTERS - TOTAL,1643,
2,BALLOTS CAST - TOTAL.,341,
3,VOTER TURNOUT - TOTAL,,20.75
4,MAYOR,,
5,VOTE FOR 1,,
6,DOMENIC J. SARNO,255,76.12
7,SALVATORE S. CIRCOSTA,76,22.69
8,WRITE-IN.,4,1.19
9,Blanks,6,
10,COUNCILLOR AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,228,18.97
12,JUSTIN J. HURST,144,11.98
13,TIMOTHY J. ROOKE,196,16.31
14,KATERI B. WALSH,198,16.47
15,BUD L. WILLIAMS,150,12.48
16,LaMAR COOK,40,3.33
17,JEFFERY P. DONNELLY,39,3.24
18,JESSE L. LEDERMAN.,101,8.40
19,"KENNETH S. POOLER, JR",58,4.83
20,ALEXANDER J. SHERMAN.,45,3.74
21,WRITE-IN.,3,.25
22,Blanks,503,
23,WARD SIX COUNCILLOR,,
24,VOTE FOR 1,,
25,KENNETH SHEA,216,72.48
26,KIM M. RIVERA,81,27.18
27,WRITE-IN.,1,.34
28,Blanks,43,
29,QUESTION 1,,
30,VOTE FOR 1,,
31,YES (SI).,197,64.17
32,NO (NO),110,35.83
33,Blanks,34,
34,QUESTION 2,,
35,VOTE FOR 1,,
36,YES (SI),148,50.34
37,NO (NO),146,49.66
38,Blanks,47,
