,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1783,
1,BALLOTS CAST - TOTAL.,192,
2,VOTER TURNOUT - TOTAL,,10.77
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,109,15.82
5,JUSTIN J. HURST,70,10.16
6,KATERI B. WALSH .,86,12.48
7,ERNESTO E. CRUZ . .,20,2.90
8,VICTOR G. DAVILA .,41,5.95
9,MARILYN FELIX .,40,5.81
10,JESSE LEDERMAN.,90,13.06
11,JYNAI S. McDONALD.,17,2.47
12,KELVIN MOLINA,11,1.60
13,KELLI P. MORIARTY-FINN,67,9.72
14,TIMOTHY RYAN,92,13.35
15,WILLIE J. THOMAS,12,1.74
16,TRACYE L. WHITFIELD,34,4.93
17,WRITE-IN.,0,
18,Blanks,271,28.23
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,57,17.92
22,JAMES M. ANZIANO,19,5.97
23,LaMAR COOK,16,5.03
24,JAMES J. FERRERA III.,70,22.01
25,JOESIAH GONZALEZ,7,2.20
26,RYAN HESS,85,26.73
27,MICHAEL D. KOCSMIERSKY,13,4.09
28,LaTONIA MONROE NAYLOR,49,15.41
29,WRITE-IN,2,.63
30,Blanks,66,17.19
