,Total:Population of one race:White,Total:Population of one race:Black or African American,Total:Population of one race:American Indian and Alaska Native,Total:Population of one race:Asian,Total:Population of one race:Native Hawaiian and Other Pacific Islander,Total:Population of one race:Some other race,Total:Population of two or more races:,Total:Population of two or more races:Two races including Some other race,"Total:Population of two or more races:Two races excluding Some other race, and three or more races",Total:Population of two or more races:Population of two races:,Total:Population of two or more races:Population of two races:White; Black or African American,Total:Population of two or more races:Population of two races:White; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:White; Asian,Total:Population of two or more races:Population of two races:Black or African American; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:All other two race combinations,Total:Population of two or more races:Population of three races,Total:Population of two or more races:Population of four or more races,Total Population,Cluster Number,Total:Population of one race:White %,Total:Population of one race:Black or African American %,Total:Population of one race:American Indian and Alaska Native %,Total:Population of one race:Asian %,Total:Population of one race:Native Hawaiian and Other Pacific Islander %,Total:Population of one race:Some other race %
0,1752615,94087,2321,77913,550,28770,59304,7438,51866,55510,26482,5135,13573,1392,8928,3372,422,1956256,1,89.59026835,4.809544354,0.118645004,3.982760947,0.02811493,1.470666416
1,47617579,4095902,99580,3247546,16777,2178213,1652178,264847,1387331,1548893,655947,151713,376711,38602,325920,94280,9005,57255597,2,83.16667976,7.153714597,0.173921861,5.672014912,0.029301939,3.804366934
2,2993359,412592,9437,138983,1268,185960,144407,21313,123094,136925,71732,11354,20468,6513,26858,6555,927,3741599,3,80.00213278,11.02715711,0.25221837,3.714534882,0.033889254,4.97006761
3,10152603,456850,19653,961510,5364,218212,351045,39475,311570,326084,98263,29984,139588,6258,51991,22620,2341,11814192,4,85.93565265,3.866959332,0.166350775,8.138601438,0.04540302,1.847032789
