,0
0,AMHERST_-_4
1,ASHFIELD_-_1
2,BARRE_-_1
3,BECKET_-_1
4,BOSTON_11_6
5,BOSTON_11_7
6,BOSTON_14_12
7,BOSTON_14_13
8,BOSTON_14_7
9,BOSTON_17_5
10,BOSTON_1_10
11,BOSTON_1_12
12,BOSTON_1_2
13,BOSTON_1_3
14,BOSTON_1_4
15,BOSTON_20_12
16,BOSTON_21_14
17,BOSTON_4_9
18,BRIDGEWATER_-_5
19,CHARLEMONT_-_1
20,CHELSEA_1_1
21,CHELSEA_1_4
22,CHELSEA_2_2
23,CHELSEA_3_3
24,CHESTERFIELD_-_1
25,CHESTER_-_1
26,DRACUT_-_2
27,EASTON_-_1
28,FLORIDA_-_1
29,FRAMINGHAM_-_16
30,GOSHEN_-_1
31,GOSNOLD_-_1
32,GREAT BARRINGTON_-_C
33,HANCOCK_-_1
34,HARDWICK_-_1
35,HAVERHILL_3_1
36,HINGHAM_-_5
37,HOLYOKE_2_B
38,HUDSON_-_4
39,HUNTINGTON_-_1
40,LOWELL_10_2
41,LOWELL_10_3
42,LOWELL_7_3
43,LUNENBURG_-_D
44,LYNN_4_1
45,LYNN_4_2
46,LYNN_5_2
47,LYNN_6_4
48,MATTAPOISETT_-_1
49,MONROE_-_1
50,MONTEREY_-_1
51,MONTGOMERY_-_1
52,NEW BRAINTREE_-_1
53,NEW MARLBOROUGH_-_1
54,NEW SALEM_-_1
55,NEWBURYPORT_1_1
56,NORTHAMPTON_2_B
57,OAKHAM_-_1
58,PERU_-_1
59,REVERE_1_3
60,ROCKPORT_-_1
61,RUSSELL_-_1
62,SANDISFIELD_-_1
63,SAVOY_-_1
64,SPRINGFIELD_1_B
65,SPRINGFIELD_1_C
66,SPRINGFIELD_1_D
67,SPRINGFIELD_1_F
68,SPRINGFIELD_2_A
69,SPRINGFIELD_3_B
70,SPRINGFIELD_3_D
71,SPRINGFIELD_3_E
72,SPRINGFIELD_3_F
73,SPRINGFIELD_3_H
74,SPRINGFIELD_4_C
75,SPRINGFIELD_4_D
76,SPRINGFIELD_4_E
77,SPRINGFIELD_4_G
78,SPRINGFIELD_4_H
79,SPRINGFIELD_6_E
80,WALTHAM_4_2
81,WARWICK_-_1
82,WATERTOWN_-_5
83,WINDSOR_-_1
84,WORTHINGTON_-_1
