,0
0,AMHERST_-_8
1,ANDOVER_-_6
2,ANDOVER_-_8
3,BOSTON_11_9
4,BOSTON_17_11
5,BOSTON_17_7
6,BOSTON_19_8
7,BOSTON_19_9
8,BOSTON_3_8
9,BOSTON_4_10
10,BOSTON_5_1
11,CAMBRIDGE_7_3
12,CHELSEA_2_4
13,COHASSET_-_1
14,DOVER_-_1
15,HAMPDEN_-_1
16,HINGHAM_-_4
17,HUBBARDSTON_-_1
18,MARBLEHEAD_-_4
19,MARSHFIELD_-_6
20,MENDON_-_1
21,MIDDLEBOROUGH_-_1
22,MIDDLEFIELD_-_1
23,MIDDLETON_-_2
24,NORFOLK_-_2
25,PLAINFIELD_-_1
26,REVERE_2_3
27,ROCHESTER_-_1
28,ROYALSTON_-_2
29,SHIRLEY_-_1
30,STERLING_-_2
31,TISBURY_-_1
32,WELLESLEY_-_C
33,WENHAM_-_1
34,WESTON_-_4
