,Locality,Ward,Pct,Total:Population of one race:White,Total:Population of one race:Black or African American,Total:Population of one race:American Indian and Alaska Native,Total:Population of one race:Asian,Total:Population of one race:Native Hawaiian and Other Pacific Islander,Total:Population of one race:Some other race,Total:Population of two or more races:,Total:Population of two or more races:Two races including Some other race,"Total:Population of two or more races:Two races excluding Some other race, and three or more races",Total:Population of two or more races:Population of two races:,Total:Population of two or more races:Population of two races:White; Black or African American,Total:Population of two or more races:Population of two races:White; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:White; Asian,Total:Population of two or more races:Population of two races:Black or African American; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:All other two race combinations,Total:Population of two or more races:Population of three races,Total:Population of two or more races:Population of four or more races,Yes,No,Blanks,Total Votes Cast
0,ABINGTON,-,1,130066,12649,386,3870,0,4668,5122,1733,3389,5050,1799,544,790,25,1892,72,0,952,722,35.0,"1,709"
1,ABINGTON,-,2,158272,2252,0,3545,8,2208,3616,475,3141,3504,1628,584,817,0,475,30,82,901,751,19.0,"1,671"
2,ABINGTON,-,3,104670,2394,63,3425,8,1812,2043,176,1867,1903,881,318,480,0,224,58,82,892,809,25.0,"1,726"
3,ABINGTON,-,4,106625,9663,113,3411,0,3707,3368,1072,2296,3270,1046,422,639,16,1147,98,0,927,960,32.0,"1,919"
4,ABINGTON,-,5,77872,1298,0,2088,0,1180,2100,312,1788,2100,976,320,492,0,312,0,0,955,916,16.0,"1,887"
5,ACTON,-,1,53885,945,48,10815,22,641,1558,141,1417,1471,244,190,854,2,181,56,31,968,"1,080",36.0,"2,084"
6,ACTON,-,2,4253,41,0,1000,0,94,173,0,173,173,29,75,69,0,0,0,0,"1,052","1,120",56.0,"2,228"
7,ACTON,-,3,19844,104,8,1847,0,344,618,83,535,610,80,108,303,22,97,8,0,"1,194","1,018",23.0,"2,235"
8,ACTON,-,4,15591,63,8,847,0,250,445,83,362,437,51,33,234,22,97,8,0,"1,279",989,44.0,"2,312"
9,ACTON,-,5,32201,1633,7,3566,0,948,1320,234,1086,1196,342,126,492,2,234,90,34,"1,159",974,34.0,"2,167"
10,ACTON,-,6,10470,694,0,1252,0,506,438,123,315,385,91,83,86,2,123,53,0,989,916,36.0,"1,941"
11,ACUSHNET,-,1,46869,130,0,1656,42,2502,1035,366,669,864,203,156,139,0,366,171,0,896,757,49.0,"1,702"
12,ACUSHNET,-,2,50434,208,16,636,20,1775,1055,282,773,780,265,111,116,6,282,275,0,965,921,72.0,"1,958"
13,ACUSHNET,-,3,19328,14,0,414,0,726,576,214,362,442,104,76,48,0,214,134,0,942,"1,006",64.0,"2,012"
14,ADAMS,-,1,21961,217,0,54,0,253,382,28,354,378,170,53,123,4,28,4,0,443,310,14.0,767
15,ADAMS,-,2,23650,276,4,56,0,356,460,28,432,440,164,134,110,4,28,20,0,462,355,12.0,829
16,ADAMS,-,3,23796,302,18,91,0,135,384,21,363,376,192,35,122,6,21,8,0,459,342,18.0,819
17,ADAMS,-,4,16452,316,18,104,0,40,349,0,349,345,224,34,84,3,0,4,0,429,292,19.0,740
18,ADAMS,-,5,27367,280,20,178,0,212,487,22,465,477,227,99,124,5,22,10,0,494,415,16.0,925
19,AGAWAM,-,1,35528,1172,38,1676,0,620,1272,272,1000,1028,266,234,198,16,314,244,0,831,754,20.0,"1,605"
20,AGAWAM,-,2,21728,342,46,919,0,538,231,28,203,231,103,54,19,0,55,0,0,963,"1,100",36.0,"2,099"
21,AGAWAM,-,4,41956,2310,56,2047,0,1685,1486,356,1130,1224,325,252,208,16,423,262,0,740,782,42.0,"1,564"
22,AGAWAM,-,5,6428,1138,18,371,0,1065,214,84,130,196,59,18,10,0,109,18,0,997,"1,016",37.0,"2,050"
23,ALFORD,-,1,10867,340,101,266,13,245,115,1,114,115,55,11,36,2,11,0,0,189,98,20.0,307
24,AMESBURY,-,1,62427,605,24,658,44,271,829,34,795,717,254,116,295,0,52,112,0,931,785,24.0,"1,740"
25,AMESBURY,-,2,64454,576,144,858,88,348,1112,68,1044,828,274,172,314,0,68,260,24,987,579,10.0,"1,576"
26,AMESBURY,-,3,61312,448,180,783,66,264,1045,51,994,755,293,137,274,0,51,254,36,942,658,22.0,"1,622"
27,AMESBURY,-,4,24075,20,144,279,0,6,415,0,415,261,175,12,74,0,0,118,36,861,572,24.0,"1,457"
28,AMESBURY,-,5,43343,67,48,439,0,197,701,0,701,615,314,12,289,0,0,74,12,885,693,17.0,"1,595"
29,AMESBURY,-,6,34754,64,96,314,0,12,582,0,582,458,274,24,160,0,0,100,24,834,551,27.0,"1,412"
30,AMHERST,-,1,44894,3175,416,8307,388,404,2359,478,1881,1965,717,65,544,51,588,342,52,981,199,23.0,"1,203"
31,AMHERST,-,10,52481,2089,376,8086,149,429,1762,216,1546,1599,504,122,507,91,375,150,13,"1,302",215,16.0,"1,533"
32,AMHERST,-,2,49529,2863,399,8107,339,641,2668,423,2245,2300,1060,104,567,47,522,265,103,"1,213",513,5.0,"1,731"
33,AMHERST,-,3,45545,3184,466,9017,485,384,2600,521,2079,2129,812,48,604,34,631,406,65,914,234,6.0,"1,154"
34,AMHERST,-,4,35268,1404,225,4321,39,298,890,130,760,847,227,97,227,81,215,43,0,937,223,26.0,"1,186"
35,AMHERST,-,5,54174,2677,292,6697,96,939,2586,287,2299,2398,1242,182,513,77,384,60,128,777,365,65.0,"1,207"
36,AMHERST,-,6,40459,4052,201,6978,234,1162,3723,537,3186,3287,1870,141,668,10,598,218,218,"1,184",534,40.0,"1,758"
37,AMHERST,-,7,11321,580,77,948,13,105,266,51,215,266,66,35,68,27,70,0,0,"1,195",475,47.0,"1,717"
38,AMHERST,-,8,31063,2742,42,3487,18,903,2320,287,2033,2114,1213,104,456,17,324,78,128,"1,245",644,43.0,"1,932"
39,AMHERST,-,9,55701,2679,352,9384,158,720,2627,288,2339,2370,1022,146,667,74,461,180,77,"1,276",340,29.0,"1,645"
40,ANDOVER,-,1,74880,2270,47,15103,0,616,2022,246,1776,1952,222,198,1202,0,330,70,0,862,807,28.0,"1,697"
41,ANDOVER,-,2,110503,5630,110,13319,0,7450,3260,584,2676,3209,943,134,1468,0,664,51,0,"1,048","1,270",58.0,"2,376"
42,ANDOVER,-,3,94247,3460,89,16444,0,1986,2634,402,2232,2561,293,198,1584,0,486,73,0,"1,122","1,146",24.0,"2,292"
43,ANDOVER,-,4,55607,4143,112,2957,0,9716,1715,341,1374,1689,835,2,463,24,365,26,0,978,"1,185",27.0,"2,190"
44,ANDOVER,-,5,21061,686,6,1005,0,143,458,11,447,441,204,117,104,0,16,17,0,965,"1,239",15.0,"2,219"
45,ANDOVER,-,6,15911,358,6,776,0,39,429,1,428,412,204,110,92,0,6,17,0,"1,024","1,209",21.0,"2,254"
46,ANDOVER,-,7,38088,1419,0,2297,20,515,996,234,762,768,164,106,232,0,266,228,0,783,889,10.0,"1,682"
47,ANDOVER,-,8,54862,1421,11,6535,10,557,1181,244,937,1044,156,119,481,0,288,137,0,996,"1,153",27.0,"2,176"
48,ANDOVER,-,9,28606,958,25,5275,0,206,746,82,664,722,74,66,472,0,110,24,0,931,"1,235",34.0,"2,200"
49,AQUINNAH,-,1,7696,104,232,56,0,30,322,10,312,248,124,46,2,20,56,74,0,205,71,11.0,287
50,ARLINGTON,-,1,28296,4083,81,4456,0,368,1562,52,1510,1311,528,252,266,86,179,176,75,588,418,42.0,"1,048"
51,ARLINGTON,-,10,3244,0,0,1065,0,0,133,0,133,133,25,0,108,0,0,0,0,806,592,26.0,"1,424"
52,ARLINGTON,-,11,46235,1267,19,7137,0,706,2034,0,2034,1854,252,167,1419,0,16,180,0,688,698,22.0,"1,408"
53,ARLINGTON,-,12,6382,91,40,1502,0,9,334,0,334,334,102,0,232,0,0,0,0,800,638,17.0,"1,455"
